time_us,input_1_v,input_2_v,expected_sum_v,expected_difference_v
0.000000000000000000e+00,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
8.000000000000000167e-03,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.600000000000000033e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
2.400000000000000050e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
3.200000000000000067e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
4.000000000000000083e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
4.800000000000000100e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
5.600000000000000117e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
6.400000000000000133e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
7.199999999999999456e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
8.000000000000000167e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
8.799999999999999489e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
9.600000000000000200e-02,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.040000000000000091e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.120000000000000023e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.199999999999999956e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.280000000000000027e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.360000000000000098e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.439999999999999891e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.520000000000000240e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.600000000000000033e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.679999999999999827e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.759999999999999898e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.839999999999999969e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.920000000000000040e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
1.999999999999999833e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
2.080000000000000182e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
2.159999999999999976e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
2.240000000000000047e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
2.320000000000000118e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
2.399999999999999911e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
2.479999999999999982e-01,-2.799999999999999711e-01,-1.399999999999999856e-01,-4.199999999999999289e-01,-1.399999999999999856e-01
2.560000000000000053e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
2.639999999999999569e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
2.720000000000000195e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
2.800000000000000266e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
2.879999999999999782e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
2.959999999999999853e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.040000000000000480e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.119999999999999996e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.200000000000000067e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.280000000000000138e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.359999999999999654e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.440000000000000280e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.519999999999999796e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.599999999999999867e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.679999999999999938e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.760000000000000009e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.840000000000000080e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.920000000000000151e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
3.999999999999999667e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.079999999999999738e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.160000000000000364e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.239999999999999880e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.319999999999999951e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.400000000000000022e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.480000000000000093e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.560000000000000164e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.640000000000000235e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.719999999999999751e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.799999999999999822e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.880000000000000449e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
4.959999999999999964e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.040000000000000036e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.120000000000000107e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.200000000000000178e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.279999999999999138e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.360000000000000320e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.440000000000000391e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.519999999999999352e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.600000000000000533e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.679999999999999494e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.759999999999999565e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.840000000000000746e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.919999999999999707e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
5.999999999999999778e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.080000000000000959e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.159999999999999920e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.239999999999999991e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.320000000000000062e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.400000000000000133e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.480000000000000204e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.560000000000000275e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.640000000000000346e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.719999999999999307e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.799999999999999378e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.880000000000000560e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
6.959999999999999520e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
7.039999999999999591e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
7.120000000000000773e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
7.199999999999999734e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
7.279999999999999805e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
7.359999999999999876e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
7.439999999999999947e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
7.520000000000000018e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
7.600000000000000089e-01,2.799999999999999711e-01,1.399999999999999856e-01,4.199999999999999289e-01,1.399999999999999856e-01
7.680000000000000160e-01,1.436494619454610211e-01,9.738914332365578019e-02,2.410386052691168013e-01,4.626031862180524090e-02
7.759999999999999121e-01,1.449720809485153805e-01,9.469119321686517154e-02,2.396632741653805521e-01,5.028088773165020897e-02
7.840000000000000302e-01,1.462894254034480535e-01,9.194900777681787318e-02,2.382384331802659405e-01,5.434041762663018027e-02
7.920000000000000373e-01,1.476014473810531857e-01,8.916386802535633538e-02,2.367653154064095211e-01,5.843757935569685036e-02
