time_us,captured_v
0.000000000000000000e+00,5.596919999999999673e-01
8.000000000000000167e-03,9.997559999999999780e-01
1.600000000000000033e-02,4.909669999999999868e-01
2.400000000000000050e-02,6.733400000000000496e-01
3.200000000000000067e-02,8.411870000000000180e-01
4.000000000000000083e-02,5.579830000000000068e-01
4.800000000000000100e-02,8.032230000000000203e-01
5.600000000000000117e-02,6.539310000000000400e-01
6.400000000000000133e-02,7.131349999999999634e-01
7.199999999999999456e-02,7.152100000000000124e-01
8.000000000000000167e-02,6.779789999999999983e-01
8.799999999999999489e-02,7.316890000000000338e-01
9.600000000000000200e-02,6.760249999999999870e-01
1.040000000000000091e-01,7.230220000000000535e-01
1.120000000000000023e-01,6.629639999999999977e-01
1.199999999999999956e-01,4.057620000000000116e-01
1.280000000000000027e-01,-2.861330000000000262e-01
1.360000000000000098e-01,-1.445309999999999928e-01
1.439999999999999891e-01,5.627399999999999763e-02
1.520000000000000240e-01,-1.000000000000000000e+00
1.600000000000000033e-01,-4.879149999999999876e-01
1.679999999999999827e-01,8.823239999999999972e-01
1.759999999999999898e-01,4.555660000000000265e-01
1.839999999999999969e-01,-2.200930000000000109e-01
1.920000000000000040e-01,-3.469240000000000101e-01
1.999999999999999833e-01,2.407229999999999925e-01
2.080000000000000182e-01,-1.000000000000000000e+00
2.159999999999999976e-01,-6.264650000000000496e-01
2.240000000000000047e-01,6.387939999999999729e-01
2.320000000000000118e-01,-6.021729999999999583e-01
2.399999999999999911e-01,-9.796139999999999848e-01
2.479999999999999982e-01,-7.172849999999999504e-01
2.560000000000000053e-01,-4.465330000000000132e-01
2.639999999999999569e-01,-6.756590000000000096e-01
2.720000000000000195e-01,6.436770000000000547e-01
2.800000000000000266e-01,7.679439999999999600e-01
2.879999999999999782e-01,-8.120119999999999560e-01
2.959999999999999853e-01,-1.000000000000000000e+00
3.040000000000000480e-01,-4.538570000000000104e-01
3.119999999999999996e-01,-7.149659999999999904e-01
3.200000000000000067e-01,-8.162840000000000096e-01
3.280000000000000138e-01,-5.318599999999999994e-01
3.359999999999999654e-01,-5.140379999999999949e-01
3.440000000000000280e-01,6.326899999999999746e-01
3.519999999999999796e-01,9.997559999999999780e-01
3.599999999999999867e-01,4.948730000000000073e-01
3.679999999999999938e-01,6.646729999999999583e-01
3.760000000000000009e-01,5.229489999999999972e-01
3.840000000000000080e-01,-3.811039999999999983e-01
3.920000000000000151e-01,1.966549999999999965e-01
3.999999999999999667e-01,9.997559999999999780e-01
4.079999999999999738e-01,5.413820000000000299e-01
4.160000000000000364e-01,5.344240000000000101e-01
4.239999999999999880e-01,9.610600000000000254e-01
4.319999999999999951e-01,4.881590000000000096e-01
4.400000000000000022e-01,8.240969999999999684e-01
4.480000000000000093e-01,6.413569999999999549e-01
4.560000000000000164e-01,3.800049999999999817e-01
4.640000000000000235e-01,-2.092289999999999983e-01
4.719999999999999751e-01,2.758800000000000141e-02
4.799999999999999822e-01,9.997559999999999780e-01
4.880000000000000449e-01,-5.819090000000000096e-01
4.959999999999999964e-01,-1.000000000000000000e+00
5.040000000000000036e-01,5.127000000000000307e-02
5.120000000000000107e-01,1.254879999999999884e-01
5.200000000000000178e-01,1.041259999999999963e-01
5.279999999999999138e-01,5.065900000000000264e-02
5.360000000000000320e-01,9.997559999999999780e-01
5.440000000000000391e-01,5.721439999999999859e-01
5.519999999999999352e-01,-6.610110000000000152e-01
5.600000000000000533e-01,5.449220000000000175e-01
5.679999999999999494e-01,7.445070000000000299e-01
5.759999999999999565e-01,-5.329589999999999606e-01
5.840000000000000746e-01,-1.000000000000000000e+00
5.919999999999999707e-01,-3.135990000000000166e-01
5.999999999999999778e-01,-4.787600000000000189e-01
6.080000000000000959e-01,1.035159999999999969e-01
6.159999999999999920e-01,3.476560000000000206e-01
6.239999999999999991e-01,-5.443120000000000180e-01
6.320000000000000062e-01,1.434330000000000049e-01
6.400000000000000133e-01,-1.000000000000000000e+00
6.480000000000000204e-01,-8.543699999999999628e-01
6.560000000000000275e-01,1.391599999999999955e-02
6.640000000000000346e-01,-1.744380000000000097e-01
6.719999999999999307e-01,2.023929999999999896e-01
6.799999999999999378e-01,-1.000000000000000000e+00
6.880000000000000560e-01,1.103520000000000056e-01
6.959999999999999520e-01,5.186770000000000547e-01
7.039999999999999591e-01,-5.271000000000000130e-01
7.120000000000000773e-01,9.997559999999999780e-01
7.199999999999999734e-01,-3.991700000000000248e-01
7.279999999999999805e-01,-1.000000000000000000e+00
7.359999999999999876e-01,-1.561279999999999890e-01
7.439999999999999947e-01,-6.124270000000000547e-01
7.520000000000000018e-01,2.491460000000000063e-01
7.600000000000000089e-01,2.351070000000000104e-01
7.680000000000000160e-01,-4.478759999999999963e-01
7.759999999999999121e-01,3.674319999999999808e-01
7.840000000000000302e-01,-1.951900000000000024e-01
7.920000000000000373e-01,3.027300000000000130e-02
7.999999999999999334e-01,5.114699999999999802e-02
8.080000000000000515e-01,-4.252929999999999766e-01
8.159999999999999476e-01,-8.052979999999999583e-01
8.239999999999999547e-01,-7.496340000000000225e-01
8.320000000000000728e-01,6.190189999999999859e-01
8.399999999999999689e-01,-4.561769999999999992e-01
8.479999999999999760e-01,-1.000000000000000000e+00
8.560000000000000941e-01,-2.456049999999999900e-01
8.639999999999999902e-01,3.581539999999999724e-01
8.719999999999999973e-01,-1.806599999999999873e-02
8.800000000000000044e-01,-2.351070000000000104e-01
8.880000000000000115e-01,2.734380000000000144e-01
8.960000000000000187e-01,-1.945800000000000030e-01
9.040000000000000258e-01,8.923300000000000676e-02
9.120000000000000329e-01,-1.221000000000000080e-03
9.199999999999999289e-01,-5.505399999999999877e-02
9.280000000000000471e-01,7.873499999999999943e-02
9.360000000000000542e-01,-8.422899999999999832e-02
9.439999999999999503e-01,7.592799999999999550e-02
9.519999999999999574e-01,-3.564500000000000307e-02
9.599999999999999645e-01,3.266600000000000059e-01
9.680000000000000826e-01,6.467289999999999983e-01
9.760000000000000897e-01,-3.100589999999999735e-01
9.839999999999999858e-01,-1.000000000000000000e+00
9.919999999999999929e-01,-3.259299999999999697e-02
1.000000000000000000e+00,5.242919999999999803e-01
1.008000000000000007e+00,6.457519999999999927e-01
1.016000000000000014e+00,-3.415529999999999955e-01
1.024000000000000021e+00,-1.000000000000000000e+00
1.032000000000000028e+00,6.419679999999999831e-01
1.040000000000000036e+00,4.821799999999999697e-02
1.048000000000000043e+00,-1.507570000000000021e-01
1.055999999999999828e+00,9.997559999999999780e-01
1.064000000000000057e+00,-2.623289999999999789e-01
1.072000000000000064e+00,-3.648680000000000256e-01
1.080000000000000071e+00,9.997559999999999780e-01
1.088000000000000078e+00,-5.780030000000000445e-01
1.095999999999999863e+00,-1.000000000000000000e+00
1.103999999999999870e+00,-2.210689999999999877e-01
1.111999999999999877e+00,-8.842769999999999797e-01
1.120000000000000107e+00,-3.468019999999999992e-01
1.128000000000000114e+00,6.083979999999999944e-01
1.135999999999999899e+00,9.997559999999999780e-01
1.143999999999999906e+00,2.358399999999999941e-01
